,input,input_lemma,input_pos,target
10,доложили что мусье давал мне свой урок,доложить что мусие давать я свой урок,VERB SCONJ NOUN VERB PRON DET NOUN,C S S S S S P
11,надобно знать что для меня выписана была из москвы географическая карта,надобно знать что для я выписать быть из москва географический карта,ADV VERB PRON ADP PRON VERB AUX ADP NOUN ADJ NOUN,S C S S S S S S S S P
12,я решился сделать из нее змей и пользуясь сном бопре принялся за работу,я решиться сделать из она змея и пользоваться сон бопер приняться за работа,PRON VERB VERB ADP PRON NOUN CCONJ VERB NOUN NOUN VERB ADP NOUN,S S S S S S C S S C S S P
13,батюшка вошел в то самое время как я прилаживал мочальный хвост к мысу доброй надежды,батюшка войти в тот самый время как я прилаживать мочальный хвост к мыс добрый надежда,NOUN VERB ADP DET ADJ NOUN SCONJ PRON VERB ADJ NOUN ADP NOUN ADJ NOUN,S S S S S C S S S S S S S S P
14,увидя мои упражнения в географии батюшка дернул меня за ухо потом подбежал к бопре разбудил его очень неосторожно и стал осыпать укоризнами,увидеть мой упражнение в география батюшка дернуть я за ухо потом подбежать к бопра разбудить он очень неосторожно и стать осыпать укоризна,VERB DET NOUN ADP NOUN NOUN VERB PRON ADP NOUN ADV VERB ADP NOUN VERB PRON ADV ADV CCONJ VERB VERB NOUN,S S S S C S S S S C S S S C S S S S S S S P
15,бопре в смятении хотел было привстать и не мог несчастный француз был мертво пьян,бопер в смятение хотеть быть привстать и не мочь несчастный француз быть мертво пьяный,NOUN ADP NOUN VERB AUX VERB CCONJ PART VERB ADJ NOUN AUX ADV ADJ,S S S S S S S S C S S S S P
16,семь бед один ответ,семь беда один ответ,NUM NOUN NUM NOUN,S C S P
17,батюшка за ворот приподнял его с кровати вытолкал из дверей и в тот же день прогнал со двора к неописанной радости савельича,батюшка за ворота приподнять он с кровать вытолкать из дверь и в тот же день прогнать с двор к неописанный радость савельич,NOUN ADP NOUN VERB PRON ADP NOUN VERB ADP NOUN CCONJ ADP DET PART NOUN VERB ADP NOUN ADP NOUN NOUN NOUN,S S S S S S C S S S S S S S S S S C S S S P
18,я жил недорослем гоняя голубей и играя в чехарду с дворовыми мальчишками,я жить недоросль гонять голубь и играть в чехарда с дворовый мальчишка,PRON VERB VERB VERB NOUN CCONJ VERB ADP NOUN ADP ADJ NOUN,S S C S S S S S S S S P
19,однажды осенью матушка варила в гостиной медовое варенье а я облизываясь смотрел на кипучие пенки,однажды осень матушка варить в гостиная медовый варение а я облизываясь смотреть на кипучий пенка,ADV NOUN NOUN VERB ADP NOUN ADJ NOUN CCONJ PRON ADV VERB ADP ADJ NOUN,S S S S S S S C S C C S S S P
20,батюшка у окна читал придворный календарь ежегодно им получаемый,батюшка у окно читать придворный календарь ежегодно они получать,NOUN ADP NOUN VERB ADJ NOUN ADV PRON VERB,S S S S S C S S P
21,зато когда он случайно его находил то бывало по целым часам не выпускал уж из своих рук,зато когда он случайно он находить то бывать по целый час не выпускать уж из свой рука,CCONJ SCONJ PRON ADV PRON VERB SCONJ VERB ADP ADJ NOUN PART VERB PART ADP DET NOUN,C S S S S C C C S S S S S S S S P
22,итак батюшка читал придворный календарь изредка пожимая плечами и повторяя вполголоса генерал-поручик,итак батюшка читать придворный календарь изредка пожимать плечо и повторять вполголоса генерал-поручик,ADV NOUN VERB ADJ NOUN ADV VERB NOUN CCONJ VERB ADV ADV,C S S S C S S S S S C EX
23,наконец батюшка швырнул календарь на диван и погрузился в задумчивость не предвещавшую ничего доброго,наконец батюшка швырнуть календарь на диван и погрузиться в задумчивость не предвещать ничто добрый,ADV NOUN VERB NOUN ADP NOUN CCONJ VERB ADP NOUN PART VERB PRON ADJ,S S S S S S S S S C S S S P
24,вдруг он обратился к матушке авдотья васильевна а сколько лет петруше,вдруг он обратиться к матушка авдотья василиевич а сколько год петруша,ADV PRON VERB ADP NOUN NOUN NOUN CCONJ NUM NOUN VERB,S S S S C S C S S S Q
25,да вот пошел семнадцатый годок отвечала матушка,да вот пойти семнадцатый годок отвечать матушка,PART PART VERB NOUN NOUN VERB NOUN,S S S S C S P
26,петруша родился в тот самый год как окривела тетушка настасья гарасимовна и когда еще,петруша родиться в тот самый год как окриветь тетушка настасья гарасимович и когда еще,NOUN VERB ADP DET ADJ NOUN SCONJ ADJ NOUN VERB NOUN CCONJ SCONJ ADV,S S S S S C S S S S C S S P
27,добро прервал батюшка пора его в службу,добро прервать батюшка пора он в служба,NOUN VERB NOUN VERB PRON ADP NOUN,C S C S S S P
28,мысль о скорой разлуке со мною так поразила матушку что она уронила ложку в кастрюльку и слезы потекли по ее лицу,мысль о скорый разлука с я так поразить матушка что она уронить ложка в кастрюлька и слеза потечь по ее лицо,NOUN ADP ADJ NOUN ADP PRON ADV VERB NOUN SCONJ PRON VERB NOUN ADP NOUN CCONJ NOUN VERB ADP DET NOUN,S S S S S S S S C S S S S S C S S S S S P
29,напротив того трудно описать мое восхищение,напротив тот трудный описать мой восхищение,ADP PRON ADJ VERB DET NOUN,S C S S S P
30,мысль о службе сливалась во мне с мыслями о свободе об удовольствиях петербургской жизни,мысль о служба сливаться в я с мысль о свобода о удовольствие петербургский жизнь,NOUN ADP NOUN NOUN ADP PRON ADP NOUN ADP NOUN ADP NOUN ADJ NOUN,S S S S S S S S S C S S S P
31,я воображал себя офицером гвардии что по мнению моему было верхом благополучия человеческого,я воображать себя офицер гвардия что по мнение мой быть верхом благополучие человеческий,PRON VERB PRON NOUN NOUN SCONJ ADP NOUN DET AUX ADP NOUN ADJ,S S S S C C S S C S S S P
32,батюшка не любил ни переменять свои намерения ни откладывать их исполнение,батюшка не любить ни переменять свой намерение ни откладывать они исполнение,NOUN PART VERB CCONJ VERB DET NOUN PART VERB PRON NOUN,S S S S S S C S S S P
33,накануне батюшка объявил что намерен писать со мною к будущему моему начальнику и потребовал пера и бумаги,накануне батюшка объявить что намеренный писать с я к будущий мой начальник и потребовать перо и бумага,ADV NOUN VERB SCONJ ADJ VERB ADP PRON ADP ADJ DET NOUN CCONJ VERB NOUN CCONJ NOUN,S S C S S S S S S S S C S S S S P
34,не забудь андрей петрович сказала матушка поклониться и от меня князю б я дескать надеюсь что он не оставит петрушу своими милостями,не забыть андрей петрович сказать матушка поклониться и от я князь б я дескать надеяться что он не оставить петрушу свой милость,PART VERB ADJ NOUN VERB NOUN VERB CCONJ ADP PRON NOUN ADP PRON ADV VERB SCONJ PRON PART VERB ADJ DET NOUN,S C S C S C S S S S S C C C C S S S S S S P
35,что за вздор отвечал батюшка нахмурясь,что за вздор отвечать батюшка нахмурясь,SCONJ ADP NOUN VERB NOUN NOUN,S S C S S P
36,да ведь ты сказал что изволишь писать к начальнику петруши,да ведь ты сказать что изволишь писать к начальник петруша,CCONJ PART PRON VERB SCONJ NOUN VERB ADP NOUN NOUN,S S S C S S S S S Q
37,ну а там что,ну а там что,PART CCONJ ADV SCONJ,C S S Q
38,да ведь начальник петрушин князь б ведь петруша записан в семеновский полк,да ведь начальник петрушин князь б ведь петруша записать в семеновский полк,PART PART NOUN NOUN NOUN ADP PART NOUN VERB ADP ADJ NOUN,S S S C S S S S S S S P
39,а мне какое дело что он записан,а я какой дело что он записать,CCONJ PRON DET NOUN SCONJ PRON VERB,S S S C S S Q
40,чему научится он служа в петербурге мотать да повесничать,что научиться он служа в петербург мотать да повесничать,PRON VERB PRON NOUN ADP NOUN ADJ CCONJ X,S S C S S C S S Q
41,нет пускай послужит он в армии да потянет лямку да понюхает пороху да будет солдат а не шаматон,нет пускай послужить он в армия да потянуть лямка да понюхает порох да быть солдат а не шаматон,VERB PART VERB PRON ADP NOUN CCONJ VERB NOUN CCONJ NOUN VERB PART AUX NOUN CCONJ PART VERB,C S S S S C S S C S S C S S C S S P
42,где его пашпорт подай его сюда,где он пашпорт подать он сюда,ADV PRON ADJ VERB PRON ADV,S S C S S P
43,матушка отыскала мой паспорт хранившийся в ее шкатулке вместе с сорочкою в которой меня крестили и вручила его батюшке дрожащею рукою,матушка отыскать мой паспорт храниться в ее шкатулка вместе с сорочка в который я крестить и вручить он батюшка дрожать рука,NOUN VERB DET NOUN VERB ADP DET NOUN ADV ADP NOUN ADP PRON PRON VERB CCONJ VERB PRON NOUN ADJ NOUN,S S S C S S S S S S C S S S C S S S S S P
44,батюшка прочел его со вниманием положил перед собою на стол и начал свое письмо,батюшка прочесть он с внимание положить перед себя на стол и начать свой письмо,NOUN VERB PRON ADP NOUN VERB ADP NOUN ADP NOUN CCONJ VERB DET NOUN,S S S S C S S S S S S S S P
45,любопытство меня мучило куда ж отправляют меня если уж не в петербург,любопытство я мучить куда ж отправлять я если уж не в петербург,NOUN PRON VERB ADV PART VERB PRON SCONJ PART PART ADP NOUN,S S C S S S C S S S S Q
46,я не сводил глаз с пера батюшкина которое двигалось довольно медленно,я не сводить глаз с перо батюшкин который двигаться довольно медленно,PRON PART VERB NOUN ADP NOUN NOUN PRON VERB ADV ADV,S S S S S S C S S S P
47,итак все мои блестящие надежды рушились,итак весь мой блестящий надежда рушиться,ADV DET DET ADJ NOUN VERB,C S S S S EX
48,служба о которой за минуту думал я с таким восторгом показалась мне тяжким несчастием,служба о который за минута думать я с такой восторг показаться я тяжкий несчастие,NOUN ADP PRON ADP NOUN VERB PRON ADP DET NOUN VERB PRON ADJ NOUN,C S S S S S S S S C S S S P
49,батюшка сказал мне прощай петр,батюшка сказать я прощать петр,NOUN VERB PRON NOUN NOUN,S S C C P
50,матушка в слезах наказывала мне беречь мое здоровье а савельичу смотреть за дитятей,матушка в слеза наказывать я беречь мой здоровье а савельичу смотреть за дитя,NOUN ADP NOUN VERB PRON VERB DET NOUN CCONJ ADV VERB ADP ADJ,S S S S S S S C S S S S P
51,надели на меня заячий тулуп а сверху лисью шубу,надеть на я заячий тулуп а сверху лисий шуба,VERB ADP PRON ADJ NOUN CCONJ ADV ADJ NOUN,S S S S C S S S P
52,я сел в кибитку с савельичем и отправился в дорогу обливаясь слезами,я сесть в кибитка с савельич и отправиться в дорога обливаться слеза,PRON VERB ADP NOUN ADP NOUN CCONJ VERB ADP NOUN VERB NOUN,S S S S S S S S S C S P
53,в ту же ночь приехал я в симбирск где должен был пробыть сутки для закупки нужных вещей что и было поручено савельичу,в тот же ночь приехать я в симбирск где должный быть пробыть сутки для закупка нужный вещь что и быть поручить савельич,ADP DET PART NOUN VERB PRON ADP NOUN ADV ADJ AUX VERB NOUN ADP NOUN ADJ NOUN SCONJ PART AUX VERB NOUN,S S S S S S S C S S S S S S S S C S S S S P
54,соскуча глядеть из окна на грязный переулок я пошел бродить по всем комнатам,соскучить глядеть из окно на грязный переулок я пойти бродить по весь комната,VERB VERB ADP NOUN ADP ADJ NOUN PRON VERB VERB ADP DET NOUN,S S S S S S C S S S S S P
55,вошед в биллиардную увидел я высокого барина лет тридцати пяти с длинными черными усами в халате с кием в руке и с трубкой в зубах,вошед в биллиардный увидеть я высокий барин год тридцать пять с длинный черный ус в халат с кий в рука и с трубка в зуб,NOUN ADP NOUN VERB PRON ADJ NOUN NOUN NUM NUM ADP ADJ ADJ NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ ADP NOUN ADP NOUN,S S C S S S S S S C S S S C S C S S S S S S S S P
56,он играл с маркером который при выигрыше выпивал рюмку водки а при проигрыше должен был лезть под биллиард на четверинках,он играть с маркер который при выигрыш выпивать рюмка водка а при проигрыш должный быть лезть под биллиард на четверинк,PRON VERB ADP NOUN PRON ADP NOUN VERB NOUN NOUN CCONJ ADP NOUN ADJ AUX VERB ADP NOUN ADP NOUN,S S S C S S S S S C S S S S S S S S S P
57,чем долее она продолжалась тем прогулки на четверинках становились чаще пока наконец маркер остался под биллиардом,чем долее она продолжаться тема прогулка на четверинк становиться частый пока наконец маркер остаться под биллиард,SCONJ ADJ PRON VERB DET NOUN ADP NOUN VERB ADV ADV ADV NOUN VERB ADP NOUN,S S S C S S S S S C S S S S S P
58,это показалось ему по-видимому странным,это показаться он по-видимому странный,PRON VERB PRON ADV ADJ,S S C C P
59,он поглядел на меня как бы с сожалением однако мы разговорились,он поглядеть на я как бы с сожаление однако мы разговориться,PRON VERB ADP PRON ADV AUX ADP NOUN ADV PRON VERB,S S S S S S S C S S P
60,я узнал что его зовут иваном ивановичем зуриным что он ротмистр гусарского полку и находится в симбирске при приеме рекрут а стоит в трактире,я узнать что он звать иван иванович зурин что он ротмистр гусарский полк и находиться в симбирск при прием рекрут а стоить в трактир,PRON VERB SCONJ PRON VERB NOUN PROPN VERB SCONJ PRON VERB VERB NOUN CCONJ VERB ADP NOUN ADP NOUN NOUN CCONJ VERB ADP NOUN,S C S S S S S C S S S S S S S S S S S C S S S P
61,зурин пригласил меня отобедать с ним вместе чем бог послал по-солдатски,зурин пригласить я отобедать с он вместе что бог послать по-солдатски,NOUN VERB PRON VERB ADP PRON ADV PRON NOUN VERB NOUN,S S S S S S S S S C P
62,это говорил он необходимо для нашего брата служивого,это говорить он необходимый для наш брат служивый,PRON VERB PRON ADJ ADP DET NOUN NOUN,C S C S S S S P
63,в походе например придешь в местечко чем прикажешь заняться,в поход например прийти в местечко чем приказать заняться,ADP ADJ ADV VERB ADP NOUN SCONJ VERB VERB,S C C S S C S S Q
64,поневоле пойдешь в трактир и станешь играть на биллиарде а для того надобно уметь играть,поневоле пойти в трактир и стать играть на биллиард а для тот надобно уметь играть,VERB NOUN ADP NOUN CCONJ VERB VERB ADP NOUN CCONJ ADP PRON ADV VERB VERB,S S S S S S S S C S S S S S EX
65,чем чаще прихлебывал я от моего стакана тем становился отважнее,чем частый прихлебывать я от мой стакан тот становиться отважнее,SCONJ ADV VERB PRON ADP DET NOUN DET VERB ADJ,S S S S S S C S S P
66,зурин взглянул на часы положил кий и объявил мне что я проиграл сто рублей,зурин взглянуть на час положить кий и объявить я что я проиграть сто рубль,NOUN VERB ADP NOUN VERB NOUN CCONJ VERB PRON PRON PRON VERB NUM NOUN,S S S C S S S S C S S S S P
67,зурин меня прервал помилуй,зурин я прервать помиловать,NOUN PRON VERB NOUN,S S C EX
68,я могу и подождать а покамест поедем к аринушке,я мочь и подождать а покамест поехать к аринушка,PRON VERB CCONJ VERB CCONJ ADV VERB ADP NOUN,S S S C S S S S P
69,день я кончил так же беспутно как и начал,день я кончить так же беспутный как и начать,NOUN PRON VERB ADV PART VERB SCONJ CCONJ VERB,S S S S S C S S P
70,зурин поминутно мне подливал повторяя что надобно к службе привыкать,зурина поминутно я подливал повторять что надобно к служба привыкать,NOUN ADV PRON ADV VERB PRON VERB ADP NOUN VERB,S S S C C S S S S P
71,встав из-за стола я чуть держался на ногах в полночь зурин отвез меня в трактир,встать из-за стол я чуть держаться на нога в полночь зурин отвезти я в трактир,VERB ADP NOUN PRON ADV VERB ADP NOUN ADP NOUN NOUN VERB PRON ADP NOUN,S S C S S S S C S S S S S S P
72,он ахнул увидя несомненные признаки моего усердия к службе,он ахнуть увидеть несомненный признак мой усердие к служба,PRON VERB VERB ADJ NOUN DET NOUN ADP NOUN,S C S S S S S S P
73,что это сударь с тобою сделалось сказал он жалким голосом где ты это нагрузился,что это сударь с ты сделалось сказать он жалкий голос где ты это нагрузиться,SCONJ PRON NOUN ADP NOUN NOUN VERB PRON ADJ NOUN ADV PRON PRON NOUN,S C C S S C S S S C S S S Q
74,ахти господи отроду такого греха не бывало,ахти господь отроду такой грех не бывать,PART VERB NOUN DET NOUN PART VERB,S C S S S S EX
75,молчи хрыч отвечал я ему запинаясь ты верно пьян пошел спать и уложи меня,молчать хрыч отвечать я он запинаться ты верно пьяный пойти спать и уложить я,VERB NOUN VERB PRON PRON VERB PRON ADV ADJ VERB VERB CCONJ VERB PRON,C C S S C C C C C S S S S P
76,на другой день я проснулся с головною болью смутно припоминая себе вчерашние происшествия,на другой день я проснуться с головной боль смутно припоминая себя вчерашний происшествие,ADP ADJ NOUN PRON VERB ADP ADJ NOUN ADV ADJ PRON ADJ NOUN,S S S S S S S C S S S S P
77,размышления мои прерваны были савельичем вошедшим ко мне с чашкою чая,размышление мой прервать быть савельикать войти к я с чашка чай,NOUN DET VERB AUX VERB VERB ADP PRON ADP ADJ NOUN,S S S S C S S S S S P
78,рано петр андреич сказал он мне качая головою рано начинаешь гулять,рано петр андреевич сказать он я качать голова рано начинать гулять,ADV NOUN NOUN VERB PRON PRON VERB VERB ADV VERB VERB,C S C S S C S C S S P
79,кажется ни батюшка ни дедушка пьяницами не бывали о матушке и говорить нечего отроду кроме квасу в рот ничего не изволили брать,казаться ни батюшка ни дедушка пьяница не бывать о матушка и говорить нечего отроду кроме квас в рот ничто не изволить брать,VERB CCONJ NOUN CCONJ NOUN NOUN PART VERB ADP NOUN CCONJ VERB VERB NOUN ADP NOUN ADP NOUN PRON PART VERB VERB,C S C S S S S C S S S S C C S C S S S S S P
80,а кто всему виноват проклятый мусье,а кто весь виноватый проклятый мусие,CCONJ PRON PRON ADJ ADJ NOUN,S S S C S P
81,то и дело бывало к антипьевне забежит мадам же ву при водкю,то и дело бывать к антипиевич забежать мадам же ву при водкю,SCONJ PART NOUN VERB ADP ADJ ADJ NOUN PART NOUN ADP NOUN,S S C C S S C C S S C P
82,нечего сказать добру наставил собачий сын,нечего сказать добру наставить собачий сын,VERB VERB ADV VERB ADJ NOUN,S C S C S P
83,и нужно было нанимать в дядьки басурмана как будто у барина не стало и своих людей,и нужный быть нанимать в дядька басурмана как будто у барин не стать и свой человек,CCONJ ADJ AUX VERB ADP NOUN VERB SCONJ PART ADP NOUN PART VERB PART DET NOUN,S S S S S S C S S S S S S S S EX
84,я отвернулся и сказал ему поди вон савельич я чаю не хочу,я отвернуться и сказать он поди вон савельич я чай не хотеть,PRON VERB CCONJ VERB PRON PART ADV VERB PRON NOUN PART VERB,S S S S C S C C S S S P
85,но савельича мудрено было унять когда бывало примется за проповедь,но савельич мудрено быть унять когда бывать приняться за проповедь,CCONJ ADJ ADV AUX VERB ADV VERB VERB ADP NOUN,S S S S C C C S S P
86,вот видишь ли петр андреич каково подгуливать,вот видеть ли петр андреевич каков подгуливать,PART VERB PART NOUN VERB ADJ NOUN,S S C S C S P
87,и головке-то тяжело и кушать-то не хочется,и головке-то тяжело и кушать-то не хотеться,CCONJ ADV ADV CCONJ NOUN PART VERB,S S C S S S P
88,выпей-ка огуречного рассолу с медом а всего бы лучше опохмелиться полстаканчиком настойки,выпить-ка огуречный рассол с мед а всего бы хороший опохмелиться полстаканчиком настойка,ADJ ADJ NOUN ADP NOUN CCONJ PART AUX ADV VERB ADJ NOUN,S S S S C S S S S S S P
89,я развернул ее и прочел следующие строки любезный петр андреевич пожалуйста пришли мне с моим мальчиком сто рублей которые ты мне вчера проиграл,я развернуть она и прочесть следующий строка любезный петр андреевич пожалуйста прийти я с мой мальчик сто рубль который ты я вчера проиграть,PRON VERB PRON CCONJ VERB ADJ NOUN ADJ NOUN NOUN ADV VERB PRON ADP DET NOUN NUM NOUN PRON PRON PRON ADV VERB,S S S S S S C S S C S S S S S S S C S S S S P
90,я взял на себя вид равнодушный и обратясь к савельичу который был и денег и белья и дел моих рачитель приказал отдать мальчику сто рублей,я взять на себя вид равнодушный и обратясь к савельич который быть и деньга и белье и дело мой рачитель приказать отдать мальчик сто рубль,PRON VERB ADP PRON NOUN ADJ CCONJ ADJ ADP NOUN PRON AUX CCONJ NOUN CCONJ NOUN CCONJ NOUN DET NOUN VERB VERB NOUN NUM NOUN,S S S S S S C S S C S S S C S C S S S C S S S S P
91,как зачем спросил изумленный савельич,как зачем спросить изумленный савельич,SCONJ ADV VERB NOUN NOUN,C C S S P
92,я их ему должен отвечал я со всевозможной холодностию,я они он должный отвечать я с всевозможный холодность,PRON PRON PRON ADJ VERB PRON ADP ADJ NOUN,S S S C S S S S P
93,должен возразил савельич час от часу приведенный в большее изумление да когда же сударь успел ты ему задолжать,должный возразить савельич час от час привести в больший изумление да когда же сударь успеть ты он задолжать,ADJ VERB ADJ NOUN ADP NOUN VERB ADP ADJ NOUN CCONJ SCONJ PART NOUN VERB PRON PRON VERB,C S C S S S S S S C S S C C S S S Q
94,воля твоя сударь а денег я не выдам,воля твой сударь а деньга я не выдать,NOUN DET NOUN CCONJ NOUN PRON PART VERB,S C C S S S S P
95,я их проиграл потому что так мне вздумалось,я они проиграть потому что так я вздуматься,PRON PRON VERB ADV SCONJ ADV PRON VERB,S S C S S S S P
96,а тебе советую не умничать и делать то что тебе приказывают,а ты советовать не умничать и делать тот что ты приказывать,CCONJ PRON VERB PART VERB CCONJ VERB PRON SCONJ PRON VERB,S S S S S S S C S S P
97,савельич так был поражен моими словами что сплеснул руками и остолбенел,савельич так быть поразить мой слово что сплеснул рука и остолбенел,NOUN ADV AUX VERB DET NOUN SCONJ ADJ NOUN CCONJ ADJ,S S S S S C S S S S P
98,что же ты стоишь закричал я сердито,что же ты стоить закричать я сердито,SCONJ PART PRON VERB VERB PRON ADV,S S S C S S P
99,батюшка петр андреич произнес он дрожащим голосом не умори меня с печали,батюшка петр андреич произнести он дрожать голос не уморить я с печаль,NOUN NOUN ADV VERB PRON ADJ NOUN PART VERB PRON ADP NOUN,S S C S S S C S S S S P
100,свет ты мой послушай меня старика напиши этому разбойнику что ты пошутил что у нас и денег-то таких не водится,свет ты мой послушать я старик написать это разбойник что ты пошутить что у мы и деньга-то такой не водится,NOUN PRON DET VERB PRON NOUN VERB PRON NOUN PRON PRON VERB SCONJ ADP PRON CCONJ NOUN DET PART ADV,S S C S C C S S C S S C S S S S S S S P
101,скажи что тебе родители крепко-накрепко заказали не играть окроме как в орехи,сказать что ты родитель крепко-накрепко заказать не играть окроме как в орех,VERB PRON PRON NOUN NOUN VERB PART VERB VERB SCONJ ADP NOUN,C S S S S S S C S S S P
102,полно врать прервал я строго подавай сюда деньги или я тебя взашей прогоню,полно врать прервать я строго подавать сюда деньга или я ты взашей прогнать,ADV VERB VERB PRON ADV VERB ADV NOUN CCONJ PRON PRON VERB NOUN,S C S S C S S S S S S S P
103,мне было жаль бедного старика но я хотел вырваться на волю и доказать что уж я не ребенок,я быть жаль бедный старик но я хотеть вырваться на воля и доказать что уж я не ребенок,PRON AUX ADV ADJ NOUN CCONJ PRON VERB VERB ADP NOUN CCONJ VERB PRON PART PRON PART NOUN,S S S S C S S S S S S S C S S S S P
104,он явился с известием что лошади готовы,он явиться с известие что лошадь готовый,PRON VERB ADP NOUN SCONJ NOUN ADJ,S S S C S S P
105,с неспокойной совестию и с безмолвным раскаянием выехал я из симбирска не простясь с моим учителем и не думая с ним уже когда-нибудь увидеться,с неспокойный совестие и с безмолвный раскаяние выехать я из симбирск не проститься с мой учитель и не думать с он уже когда-нибудь увидеться,ADP ADJ NOUN CCONJ ADP ADJ NOUN VERB PRON ADP NOUN PART VERB ADP DET NOUN CCONJ PART VERB ADP PRON ADV ADV VERB,S S S S S S S S S S C S S S S S S S S S S S S P
106,проигрыш мой по тогдашним ценам был немаловажен,проигрыш мой по тогдашний цена быть немаловажный,NOUN DET ADP ADJ NOUN AUX VERB,S C S S C S P
107,я не мог не признаться в душе что поведение мое в симбирском трактире было глупо и чувствовал себя виноватым перед савельичем,я не мочь не признаться в душа что поведение мой в симбирский трактир быть глупый и чувствовать себя виноватый перед савельич,PRON PART VERB PART VERB ADP NOUN SCONJ NOUN DET ADP ADJ NOUN AUX ADJ CCONJ VERB PRON ADJ ADP NOUN,S S S S S S C S S S S S S S C S S S S S P
108,старик угрюмо сидел на облучке отворотясь от меня и молчал изредка только покрякивая,старик угрюмо сидеть на облучок отворотясь от я и молчать изредка только покрякивая,NOUN ADV VERB ADP ADJ NOUN ADP PRON CCONJ VERB ADV PART ADJ,S S S S C S S C S C S S P
109,наконец я сказал ему ну ну савельич полно помиримся виноват вижу сам что виноват,наконец я сказать он ну ну савельич полно помиримся виноватый видеть сам что виноватый,ADV PRON VERB PRON PART PART ADV ADV ADV ADJ VERB ADJ SCONJ ADJ,S S S C C C C C C C S C S P
110,я вчера напроказил а тебя напрасно обидел,я вчера напроказить а ты напрасно обидел,PRON ADV VERB CCONJ PRON ADV PRON,S S C S S S P
111,ну не сердись помиримся,ну не сердиться помириться,PART PART VERB NOUN,C S C P
112,эх батюшка петр андреич отвечал он с глубоким вздохом,эх батюшка петр андреевич отвечать он с глубокий вздох,ADV NOUN NOUN NOUN VERB PRON ADP ADJ NOUN,C S S C S S S S P
